"Time","Cuisine"
2020-01-11 23:45:03,1
2020-01-11 23:45:05,0
2020-01-11 23:53:37,0
2020-01-12 08:52:47,1
2020-01-12 10:28:46,0
2020-01-12 17:08:05,0
2020-01-12 21:11:10,0
2020-01-12 21:13:05,0
2020-01-13 06:54:35,1
2020-01-13 08:16:23,0
2020-01-13 17:16:04,1
2020-01-13 21:05:48,0
2020-01-13 21:09:30,0
2020-01-14 06:57:20,1
2020-01-14 08:20:31,0
2020-01-14 18:26:07,1
2020-01-14 20:50:57,0
2020-01-15 07:52:52,1
2020-01-15 09:32:07,0
2020-01-15 18:12:18,1
2020-01-15 22:05:57,0
2020-01-16 06:57:52,1
2020-01-16 08:18:55,0
2020-01-16 17:37:02,1
2020-01-16 21:11:38,0
2020-01-16 21:14:22,0
2020-01-17 06:58:01,1
2020-01-17 08:20:15,0
2020-01-17 17:50:49,0
2020-01-17 20:26:24,0
2020-01-17 20:43:43,0
2020-01-18 07:51:18,1
2020-01-18 13:39:19,0
2020-01-18 21:19:28,0
2020-01-18 21:27:27,0
2020-01-19 07:40:45,1
2020-01-19 07:40:51,0
2020-01-19 09:14:48,0
2020-01-19 20:18:43,0
2020-01-19 20:42:06,0
2020-01-19 21:37:12,0
2020-01-20 07:03:18,1
2020-01-20 09:06:32,0
2020-01-20 17:08:03,1
2020-01-20 21:26:03,0
2020-01-21 18:22:42,0
2020-01-21 20:29:31,0
2020-01-21 20:39:42,0
2020-01-22 21:22:52,0
2020-01-22 21:23:07,0
2020-01-22 21:39:24,0
2020-01-23 06:57:56,1
2020-01-23 08:13:07,0
2020-01-23 08:44:28,0
2020-01-23 16:15:57,0
2020-01-23 20:53:39,0
2020-01-23 20:58:24,0
2020-01-24 06:59:34,1
2020-01-24 08:19:03,0
2020-01-24 17:41:49,1
2020-01-24 21:19:59,0
2020-01-25 08:14:32,1
2020-01-25 10:02:47,0
2020-01-25 17:51:01,1
2020-01-25 21:30:42,0
2020-01-26 08:06:58,1
2020-01-26 11:32:49,0
2020-01-26 22:05:16,0
2020-01-26 22:06:30,0
2020-01-26 22:18:22,0
2020-01-27 06:58:16,1
2020-01-27 08:08:57,0
2020-01-27 16:59:12,1
2020-01-27 20:36:53,0
2020-01-28 06:22:55,0
2020-01-28 08:31:09,0
2020-01-28 08:48:06,0
2020-01-28 13:18:35,0
2020-01-28 17:53:27,0
2020-01-28 20:48:50,0
2020-01-29 06:49:52,1
2020-01-29 08:26:52,0
2020-01-29 17:26:10,1
2020-01-29 20:27:44,0
2020-01-30 00:13:43,0
2020-01-30 04:23:56,0
2020-01-30 05:55:25,0
2020-01-30 08:25:03,0
2020-01-31 07:49:42,1
2020-01-31 07:56:45,0
2020-01-31 18:13:35,1
2020-01-31 20:43:11,0
2020-02-01 07:37:46,1
2020-02-01 08:33:55,0
2020-02-01 17:19:42,1
