"Time","Salon","2ème étage","Chambre 3","Chambre 2"
2020-11-13 11:00:00,,,,
2020-11-13 13:00:00,838,756,998,825
2020-11-13 15:00:00,869,765,1091,841
2020-11-13 17:00:00,971,870,974,938
2020-11-13 19:00:00,1131,1004,1094,1115
2020-11-13 21:00:00,1052,1347,1403,1770
2020-11-13 23:00:00,902,1214,1628,2115
2020-11-14 01:00:00,844,1108,1772,2414
2020-11-14 03:00:00,745,1039,1818,2602
2020-11-14 05:00:00,673,982,1841,2735
2020-11-14 07:00:00,763,1049,1655,2202
2020-11-14 09:00:00,1132,1125,1241,1271
2020-11-14 11:00:00,1016,1065,1141,1267
2020-11-14 13:00:00,1073,1066,1327,1294
2020-11-14 15:00:00,1003,1107,1209,1203
2020-11-14 17:00:00,1179,1015,1104,1132
2020-11-14 19:00:00,1101,1002,1125,1291
2020-11-14 21:00:00,1042,1144,1478,1725
2020-11-14 23:00:00,907,1235,1733,2068
2020-11-15 01:00:00,856,1098,1986,2331
2020-11-15 03:00:00,786,1051,2087,2480
2020-11-15 05:00:00,721,1008,2114,2621
2020-11-15 07:00:00,738,969,1917,2414
2020-11-15 09:00:00,1181,1216,1270,1323
2020-11-15 11:00:00,1276,1191,1277,1370
2020-11-15 13:00:00,1187,1164,1475,1702
2020-11-15 15:00:00,1207,1201,1421,1507
2020-11-15 17:00:00,1325,1206,1288,1340
2020-11-15 19:00:00,1344,1178,1313,1591
2020-11-15 21:00:00,1297,1517,1656,2067
2020-11-15 23:00:00,1138,1478,1836,2337
2020-11-16 01:00:00,887,1297,1911,2456
2020-11-16 03:00:00,831,1231,1322,2561
2020-11-16 05:00:00,813,1148,1065,2680
2020-11-16 07:00:00,789,799,701,1676
2020-11-16 09:00:00,800,714,755,698
2020-11-16 11:00:00,894,762,821,820
2020-11-16 13:00:00,862,1053,968,1017
2020-11-16 15:00:00,927,1099,1002,1011
2020-11-16 17:00:00,785,949,939,1163
2020-11-16 19:00:00,992,880,1062,1195
2020-11-16 21:00:00,900,1224,1458,1654
2020-11-16 23:00:00,747,1124,1634,1953
2020-11-17 01:00:00,647,936,1697,2203
2020-11-17 03:00:00,579,886,1677,2334
2020-11-17 05:00:00,528,880,1675,2432
2020-11-17 07:00:00,649,768,1026,1900
2020-11-17 09:00:00,687,694,747,
2020-11-17 11:00:00,626,601,662,938
2020-11-17 13:00:00,484,471,935,506
2020-11-17 15:00:00,473,466,1080,466
2020-11-17 17:00:00,783,688,776,722
2020-11-17 19:00:00,1058,928,1049,961
2020-11-17 21:00:00,935,1247,1388,1602
2020-11-17 23:00:00,729,1176,1551,1938
