"Time","Cuisine","Extérieur Cuisine","2ème étage","Chambre 3","Buanderie","Extérieur Cuisine2","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre 3 2","Chambre 2","Chambre 1","Chambre 2"
2020-01-11 13:00:00,22,7.2,18,20,17,4.8,5.1,21,7.4,18,19,22,21,22
2020-01-12 01:00:00,22,5.9,20,21,17,2.8,3.9,21,5.7,20,19,21,21,21
2020-01-12 13:00:00,23,6.5,19,21,17,3.0,5.4,22,8.7,20,20,21,21,21
2020-01-13 01:00:00,22,4.4,19,21,16,0.71,1.5,21,3.6,20,20,22,22,22
2020-01-13 13:00:00,22,5.7,19,21,16,1.7,3.2,21,6.5,19,20,21,22,21
2020-01-14 01:00:00,22,4.4,19,21,15,0.63,3.0,21,4.5,19,20,22,22,22
2020-01-14 13:00:00,21,9.8,17,20,16,6.1,8.3,21,10,18,20,20,21,20
2020-01-15 01:00:00,22,6.1,18,21,16,2.8,4.0,21,5.9,19,20,20,21,20
2020-01-15 13:00:00,21,9.1,18,20,16,6.5,7.5,21,9.5,18,19,20,20,20
2020-01-16 01:00:00,22,7.7,18,20,16,2.9,4.5,21,6.0,19,20,21,20,21
2020-01-16 13:00:00,22,8.8,17,20,17,5.0,7.9,21,11,18,20,20,20,20
2020-01-17 01:00:00,22,6.1,18,20,16,2.7,3.6,21,5.8,19,19,21,20,21
2020-01-17 13:00:00,21,8.2,18,20,16,5.1,5.7,21,7.1,18,20,20,20,20
2020-01-18 01:00:00,22,6.3,18,20,16,3.0,3.2,21,5.7,19,19,20,20,20
2020-01-18 13:00:00,22,6.6,18,20,16,3.3,5.2,21,8.1,18,19,20,20,20
2020-01-19 01:00:00,23,5.3,19,20,16,2.5,3.2,22,5.2,20,19,22,20,22
2020-01-19 13:00:00,23,5.9,19,20,17,3.4,4.6,22,6.1,19,20,21,21,21
2020-01-20 01:00:00,23,3.7,19,21,16,1.0,2.8,22,3.7,20,20,21,21,21
2020-01-20 13:00:00,23,5.8,18,20,16,3.3,5.5,22,6.9,19,20,21,21,21
2020-01-21 01:00:00,23,4.5,18,20,15,1.3,3.1,22,3.9,18,20,21,21,21
2020-01-21 13:00:00,23,5.9,18,20,16,2.7,4.2,22,6.8,19,19,22,21,22
2020-01-22 01:00:00,23,4.6,19,21,16,1.2,2.7,22,4.2,20,20,21,20,21
2020-01-22 13:00:00,23,6.8,19,21,17,3.6,5.5,22,8.3,20,20,21,21,21
2020-01-23 01:00:00,23,7.1,19,21,17,2.7,3.5,22,5.1,20,19,22,21,22
2020-01-23 13:00:00,22,6.4,18,21,17,2.6,4.3,22,7.1,19,20,21,21,21
2020-01-24 01:00:00,23,5.0,19,21,16,1.4,2.6,22,4.4,20,20,22,23,22
2020-01-24 13:00:00,22,7.5,18,21,17,4.7,5.9,22,7.9,19,20,21,21,21
2020-01-25 01:00:00,23,6.3,19,21,17,3.2,4.7,22,5.8,20,21,22,23,22
2020-01-25 13:00:00,22,8.7,19,21,17,4.6,5.4,22,8.0,19,20,21,21,21
2020-01-26 01:00:00,23,6.9,19,21,16,4.0,4.9,22,6.5,19,20,22,21,22
2020-01-26 13:00:00,23,8.1,19,20,17,5.5,6.0,22,8.0,19,19,20,20,20
2020-01-27 01:00:00,23,7.6,19,21,17,4.6,5.7,22,7.0,20,20,22,20,22
2020-01-27 13:00:00,22,10,19,21,17,7.3,8.2,22,9.3,20,20,21,21,21
2020-01-28 01:00:00,23,10,19,21,18,8.5,9.8,22,10,20,20,21,21,21
2020-01-28 13:00:00,23,8.6,18,20,17,5.6,6.3,22,8.1,19,20,21,20,21
2020-01-29 01:00:00,23,8.2,19,21,,6.1,6.1,22,7.6,20,20,22,20,22
2020-01-29 13:00:00,23,8.8,19,21,17,6.3,6.1,22,8.2,20,20,21,21,21
2020-01-30 01:00:00,23,7.0,19,20,16,4.1,4.4,22,6.1,20,19,22,20,22
