time; Tin; Tout; humidity; detected_motions; power; office_CO2_concentration; door; CO2_corridor; acoustic_pressure; label
04/05/2015 04:15;20.390000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.012700;0.000000
04/05/2015 04:20;20.390000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.012700;0.000000
04/05/2015 04:25;20.390000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.012700;0.000000
04/05/2015 04:30;20.450300;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.012749;0.000000
04/05/2015 04:35;20.550000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 04:40;20.550000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 04:45;20.550000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 04:50;20.550000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 04:55;20.550000;16.000000;53.000000;0.000000;0.000000;410.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:00;20.550000;16.000000;53.000000;0.000000;0.000000;410.747767;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:05;20.550000;16.000000;53.000000;0.000000;0.000000;415.061133;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:10;20.550000;16.000000;53.000000;0.000000;0.000000;410.918200;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:15;20.550000;16.000000;53.000000;0.000000;0.000000;411.139067;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:20;20.550000;16.000000;53.000000;0.000000;0.000000;418.504533;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:25;20.550000;16.000000;53.000000;0.000000;0.000000;417.756900;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:30;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:35;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;430.000000;0.013100;0.000000
04/05/2015 05:40;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;434.486600;0.013100;0.000000
04/05/2015 05:45;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;433.985667;0.013100;0.000000
04/05/2015 05:50;20.457322;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;438.504667;0.013100;0.000000
04/05/2015 05:55;20.390000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013100;0.000000
04/05/2015 06:00;20.390000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013130;0.000000
04/05/2015 06:05;20.390000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013400;0.000000
04/05/2015 06:10;20.448671;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013400;0.000000
04/05/2015 06:15;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013400;0.000000
04/05/2015 06:20;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013400;0.000000
04/05/2015 06:25;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;440.000000;0.013400;0.000000
04/05/2015 06:30;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;442.243500;0.013391;0.000000
04/05/2015 06:35;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;449.028467;0.013300;0.000000
04/05/2015 06:40;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013300;0.000000
04/05/2015 06:45;20.550000;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013300;0.000000
04/05/2015 06:50;20.390827;16.000000;53.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013300;0.000000
04/05/2015 06:55;20.390000;16.000000;52.850540;0.000000;0.000000;420.000000;0.000000;450.000000;0.013300;0.000000
04/05/2015 07:00;20.390000;16.000000;52.854240;0.000000;0.000000;420.000000;0.000000;450.000000;0.013317;0.000000
04/05/2015 07:05;20.411351;16.000000;52.149503;0.000000;0.000000;420.000000;0.000000;450.000000;0.013500;0.000000
04/05/2015 07:10;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013500;0.000000
04/05/2015 07:15;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013500;0.000000
04/05/2015 07:20;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013500;0.000000
04/05/2015 07:25;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013500;0.000000
04/05/2015 07:30;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013516;0.000000
04/05/2015 07:35;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013700;0.000000
04/05/2015 07:40;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013700;0.000000
04/05/2015 07:45;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013700;0.000000
04/05/2015 07:50;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013700;0.000000
04/05/2015 07:55;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.013700;0.000000
04/05/2015 08:00;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.014360;0.000000
04/05/2015 08:05;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.022700;0.000000
04/05/2015 08:10;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.000000;0.022700;0.000000
04/05/2015 08:15;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;450.747533;0.022700;0.000000
04/05/2015 08:20;20.550000;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;451.452400;0.022700;0.000000
04/05/2015 08:25;20.496124;16.000000;52.000000;0.000000;0.000000;420.000000;0.000000;459.252200;0.022700;0.000000
