"Time","Aujourd'hui","Moyenne minute","Moyenne Heure"
2020-12-22 13:00:00,5248,446,431
2020-12-23 01:00:00,2448,434,419
2020-12-23 13:00:00,10447,703,721
2020-12-24 01:00:00,2034,458,437
2020-12-24 13:00:00,7510,552,530095
2020-12-25 01:00:00,2101,334,329
2020-12-25 13:00:00,6845,622,626
2020-12-26 01:00:00,2738,668,523
2020-12-26 13:00:00,10133,463,604
2020-12-27 01:00:00,2538,502,488
2020-12-27 13:00:00,8136,525,528
2020-12-28 01:00:00,2052,361,320
2020-12-28 13:00:00,8074,738,777
2020-12-29 01:00:00,2567,772,659
2020-12-29 13:00:00,12221,631,717
2020-12-30 01:00:00,1761,387,305
2020-12-30 13:00:00,8100,576,643
2020-12-31 01:00:00,1839,334,311
2020-12-31 13:00:00,6955,545,553
2021-01-01 01:00:00,2131,577,406
2021-01-01 13:00:00,10373,577,728
2021-01-02 01:00:00,1816,407,333
2021-01-02 13:00:00,7122,409,471
2021-01-03 01:00:00,1839,388,369
2021-01-03 13:00:00,7496,512,518
2021-01-04 01:00:00,2254,370,351
2021-01-04 13:00:00,6962,550,567
2021-01-05 01:00:00,2555,606,487
2021-01-05 13:00:00,8948,392,503
2021-01-06 01:00:00,2678,556,533
2021-01-06 13:00:00,8775,574,588
2021-01-07 01:00:00,3364,793,759
2021-01-07 13:00:00,10653,354,378
2021-01-08 01:00:00,2253,362,361
2021-01-08 13:00:00,6544,648,562
2021-01-09 01:00:00,3954,425,499
2021-01-09 13:00:00,7525,377,371
2021-01-10 01:00:00,2344,505,422
2021-01-10 13:00:00,9196,639,713
2021-01-11 01:00:00,2756,763,570
2021-01-11 13:00:00,14089,988,1172

