"Time","Production chauffage"
2020-11-13 22:35:35,1
2020-11-13 22:48:36,0
2020-11-13 22:48:36,0
2020-11-13 23:08:37,0
2020-11-13 23:08:37,0
2020-11-13 23:23:38,0
2020-11-14 01:04:44,0
2020-11-14 01:04:44,0
2020-11-14 01:17:45,0
2020-11-14 03:02:51,0
2020-11-14 03:02:52,0
2020-11-14 03:16:52,0
2020-11-14 05:01:59,0
2020-11-14 05:01:59,0
2020-11-14 05:15:00,0
2020-11-14 07:01:06,0
2020-11-14 07:01:06,0
2020-11-14 07:22:08,0
2020-11-15 00:19:13,0
2020-11-15 00:19:13,0
2020-11-15 00:37:14,0
2020-11-15 01:13:16,0
2020-11-15 01:13:16,0
2020-11-15 01:29:17,0
2020-11-15 03:08:23,0
2020-11-15 03:08:23,0
2020-11-15 03:21:24,0
2020-11-15 05:06:30,0
2020-11-15 05:06:30,0
2020-11-15 05:15:31,0
2020-11-15 07:02:38,0
2020-11-15 07:02:38,0
2020-11-15 07:30:39,0
2020-11-16 02:57:51,1
2020-11-16 02:57:51,1
2020-11-16 03:14:52,0
2020-11-16 03:14:52,0
2020-11-16 03:26:53,0
2020-11-16 05:00:59,0
2020-11-16 05:00:59,0
2020-11-16 05:47:02,0
2020-11-16 07:10:07,0
2020-11-16 07:10:07,0
2020-11-16 07:43:21,0
2020-11-16 09:03:14,0
2020-11-16 09:03:14,0
2020-11-16 22:16:04,1
2020-11-16 22:55:07,0
2020-11-16 22:55:07,0
2020-11-16 23:15:08,0
2020-11-16 23:15:08,0
2020-11-16 23:26:08,0
2020-11-17 01:10:15,0
2020-11-17 01:10:15,0
2020-11-17 01:24:16,0
2020-11-17 03:11:23,0
2020-11-17 03:11:23,0
2020-11-17 03:19:23,0
2020-11-17 05:30:31,0
2020-11-17 05:30:31,0
2020-11-17 05:45:32,0
2020-11-17 07:16:38,0
2020-11-17 07:16:38,0
2020-11-17 07:25:38,0
2020-11-17 09:15:45,0
2020-11-17 09:15:45,0
2020-11-17 09:27:46,0
2020-11-17 11:27:53,1
2020-11-17 11:30:54,0
2020-11-17 11:30:54,0
2020-11-17 13:25:01,1
2020-11-17 13:41:02,0
2020-11-17 13:41:02,0
2020-11-18 00:36:42,0
2020-11-18 00:36:42,0
2020-11-18 00:58:43,0
2020-11-18 01:11:44,0
2020-11-18 01:11:44,0
2020-11-18 01:28:45,0
2020-11-18 03:02:51,0
2020-11-18 03:02:51,0
2020-11-18 03:15:51,0
2020-11-18 05:01:58,0
2020-11-18 05:01:58,0
2020-11-18 05:34:00,0
2020-11-18 07:05:06,0
2020-11-18 07:05:06,0
2020-11-18 07:19:06,0
2020-11-18 09:15:13,0
2020-11-18 09:15:14,0
2020-11-18 09:29:14,0
2020-11-18 11:12:21,0
2020-11-18 11:12:21,0
2020-11-18 11:32:22,0
2020-11-19 00:46:42,1
2020-11-19 00:46:42,1
2020-11-19 02:46:49,0
2020-11-19 02:46:49,0
2020-11-19 02:53:50,1
2020-11-19 03:05:50,0
2020-11-19 03:05:50,0
2020-11-19 03:23:51,0
2020-11-19 05:28:59,0
2020-11-19 05:28:59,0
2020-11-19 05:45:00,0
2020-11-19 07:21:06,0
2020-11-19 07:21:06,0
2020-11-19 07:40:07,0
2020-11-19 09:26:14,0
2020-11-19 09:26:14,0
2020-11-19 10:00:16,0
2020-11-19 11:09:20,0
2020-11-19 11:09:21,0
2020-11-19 11:44:23,0
2020-11-19 13:23:29,1
2020-11-19 13:24:29,0
2020-11-19 13:24:29,0
2020-11-19 18:08:47,0
2020-11-19 18:08:47,0
2020-11-19 18:15:47,0
2020-11-19 19:05:50,0
2020-11-19 19:05:50,0
2020-11-19 19:16:51,0
2020-11-19 21:18:59,0
2020-11-19 21:18:59,0
2020-11-19 21:29:59,0
2020-11-19 23:10:06,0
2020-11-19 23:10:06,0
2020-11-19 23:27:07,0
2020-11-20 01:01:13,0
2020-11-20 01:01:13,0
2020-11-20 01:14:13,0
2020-11-20 03:03:20,0
2020-11-20 03:03:20,0
2020-11-20 03:16:21,0
2020-11-20 05:02:28,0
2020-11-20 05:02:28,0
2020-11-20 05:35:30,0
2020-11-20 07:03:35,0
2020-11-20 07:03:35,0
2020-11-20 07:20:37,0
2020-11-20 09:15:44,0
2020-11-20 09:15:44,0
2020-11-20 09:27:44,0
2020-11-20 11:23:52,1
2020-11-20 11:25:52,0
2020-11-20 11:25:52,0
2020-11-20 18:57:20,1
2020-11-20 18:57:20,1
2020-11-20 19:07:21,0
2020-11-20 19:07:21,0
2020-11-20 19:27:22,0
2020-11-20 21:07:28,0
2020-11-20 21:07:28,0
2020-11-20 21:21:29,0
2020-11-20 23:02:35,0
2020-11-20 23:02:35,0
2020-11-20 23:17:36,0
2020-11-21 01:04:43,0
2020-11-21 01:04:43,0
2020-11-21 01:25:44,0
2020-11-21 03:06:50,0
2020-11-21 03:06:50,0
2020-11-21 03:20:51,0
