stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,total_power_nosun,actual_occupation,acoustic_pressure_dB
18/01/2016 04:00:00,1453086000000,2016-01-18 04:00:00,18.586931333333332,15.039999999999997,29.269467286111112,17.499544222222223,420.05086666666665,402.16738888888887,0.0,0.0,0.0,0.0,22.0,359.30164194444444,0.0,0.0,0.0,0.0,29.521342222222223,15.039999999999997,0,0,-3.23,78.0,100.0,0.0,0.0,11.76992306388889,588.4961531944444,0.26155384586419755,381.30164194444444,0.0,381.30164194444444,381.30164194444444,0.0,0.0
18/01/2016 05:00:00,1453089600000,2016-01-18 05:00:00,18.422062833333335,14.988929333333331,30.719766999999997,17.43273688888889,426.07427222222225,410.0,0.0,0.0,0.0,0.0,22.0,360.2243952777778,0.0,0.0,0.0,0.0,28.788130555555554,14.988929333333331,0,0,-3.04,78.0,100.0,0.0,0.0,13.287030111111108,664.3515055555554,0.29526733580246906,382.2243952777778,0.0,382.2243952777778,382.2243952777778,0.0,0.0
18/01/2016 06:00:00,1453093200000,2016-01-18 06:00:00,18.219941888888886,14.9387648,30.6663176,17.316433866666667,430.0,417.8222138888889,0.0,0.0,0.0,0.026138055555555557,22.0,357.7449658333333,0.0,0.0,0.0,0.0,28.029295,14.9387648,0,1,-2.63,78.0,100.0,0.0,0.0,13.349883733333332,667.4941866666666,0.2966640829629629,379.7449658333333,0.0,379.7449658333333,379.7449658333333,0.0,0.0
18/01/2016 07:00:00,1453096800000,2016-01-18 07:00:00,18.380133499999996,15.295760977777777,30.659300622222226,17.427497777777777,437.7433888888889,440.42168055555555,0.0,0.0,0.0,0.02679888888888889,22.0,359.54692666666665,0.0,0.0,0.0,0.0,30.08460611111111,15.295760977777777,0,0,-2.97,79.0,100.0,0.0,0.0,13.231802844444449,661.5901422222224,0.29404006320987663,381.54692666666665,0.0,381.54692666666665,381.54692666666665,0.0,0.0
18/01/2016 08:00:00,1453100400000,2016-01-18 08:00:00,18.775111277777782,15.24179231111111,30.749401916666667,17.686674133333337,448.8798361111111,465.6552,0.0,0.0,0.0,0.0,22.0,361.56626944444446,0.0,0.0,0.0,0.0,29.30985972222222,15.24179231111111,0,0,-3.12,75.0,100.0,2.313987866666667,1.1491011111111114,13.06272778333333,653.1363891666665,0.29028283962962953,383.56626944444446,0.0,383.56626944444446,383.56626944444446,0.0,0.0
18/01/2016 09:00:00,1453104000000,2016-01-18 09:00:00,18.974773000000003,15.241800355555556,30.831190333333335,17.822698875,462.86651944444446,508.30061944444446,0.0,0.0,0.0,0.0,22.0,359.3186727777778,0.0,0.0,0.0,0.0,28.03117111111111,15.241800355555556,0,0,-2.83,75.0,100.0,17.7850447,8.674938888888889,13.008491458333335,650.4245729166668,0.289077587962963,381.3186727777778,13.014044850458054,394.33271762823586,381.3186727777778,0.0,0.0
18/01/2016 10:00:00,1453107600000,2016-01-18 10:00:00,18.685688,15.183134577777778,30.785507041666666,17.78783096388889,482.5393555555556,625.6151,0.0,0.0,0.0,0.0,22.0,361.4201816666667,0.0,0.0,0.0,0.0,27.75222777777778,15.183134577777778,0,0,-1.89,68.0,98.0,54.9654863,28.036414444444446,12.997676077777776,649.8838038888888,0.28883724617283946,383.4201816666667,66.17105112511702,449.5912327917837,383.4201816666667,0.0,0.0
18/01/2016 11:00:00,1453111200000,2016-01-18 11:00:00,18.39934855555555,14.932773822222224,30.88738499166667,17.57,489.81583611111114,794.0176194444444,0.0,0.0,0.0,0.0,22.0,361.6478172222222,0.0,0.0,0.0,0.0,27.150035555555554,14.932773822222224,0,0,-0.97,63.0,99.0,148.71784903333332,91.23553444444444,13.317384991666671,665.8692495833336,0.2959418887037038,383.6478172222222,119.47227363277624,503.12009085499847,383.6478172222222,0.0,0.0
18/01/2016 12:00:00,1453114800000,2016-01-18 12:00:00,18.51191177777778,14.989393333333334,31.071162088888887,17.719730622222226,490.4799861111111,881.5277694444444,0.0,0.0,0.0,0.0,22.0,360.5209394444444,0.0,0.0,0.0,0.0,27.171424722222223,14.989393333333334,0,0,-0.34,59.0,97.0,134.0741793666667,78.22137333333333,13.35143146666666,667.571573333333,0.2966984770370369,382.5209394444444,189.1250209557155,571.64596040016,382.5209394444444,0.0,0.0
18/01/2016 13:00:00,1453118400000,2016-01-18 13:00:00,18.352444555555554,14.775116488888889,30.93610217777778,17.486168977777776,485.55552222222224,795.9999666666666,0.0,0.0,0.0,0.0,22.0,360.9082147222222,0.0,0.0,0.0,0.0,26.929466666666666,14.775116488888889,0,0,0.11,54.0,99.0,62.650788500000004,33.568263333333334,13.449933200000004,672.4966600000002,0.29888740444444456,382.9082147222222,171.40104943015635,554.3092641523785,382.9082147222222,0.0,0.0
18/01/2016 14:00:00,1453122000000,2016-01-18 14:00:00,18.394786944444444,14.699160088888888,31.06,17.462017511111114,502.9725916666667,774.5167638888889,0.0,0.0,0.0,0.0,22.0,362.13165694444444,0.0,0.0,0.0,0.0,27.20964972222222,14.699160088888888,0,0,0.52,56.0,100.0,58.649301300000005,28.054992222222225,13.597982488888885,679.8991244444443,0.30217738864197524,384.13165694444444,132.86326313721207,516.9949200816566,384.13165694444444,0.0,0.0
18/01/2016 15:00:00,1453125600000,2016-01-18 15:00:00,18.858304166666667,15.167362844444442,30.998937155555556,17.762053427777776,543.9993805555556,811.4564777777778,0.0,0.0,0.0,0.0,22.0,360.36390027777776,0.0,0.0,0.0,0.0,27.351103055555555,15.167362844444442,0,0,0.65,58.0,99.0,31.791004699999995,17.797293333333336,13.23688372777778,661.844186388889,0.29415297172839516,382.36390027777776,94.92347005300152,477.28737033077925,382.36390027777776,0.0,0.0
18/01/2016 16:00:00,1453129200000,2016-01-18 16:00:00,18.996258555555556,15.549563555555554,30.975448577777776,18.029804088888888,521.7664916666666,791.1987194444445,0.0,0.0,0.0,0.0,22.0,361.27201305555553,0.0,0.0,0.0,0.0,27.320559166666666,15.549563555555554,0,0,0.17,59.0,99.0,7.473785933333333,5.895397777777777,12.945644488888888,647.2822244444444,0.2876809886419753,383.27201305555553,36.801528905469716,420.0735419610252,383.27201305555553,0.0,0.0
